version,base version,scenario,test case,timestamp,duration,base duration,relative duration
8.0.100-alpha.1.23061.8,6.0.400,cold,OrchardCore-5dbd92c,2023-01-12T13:26:02.4713813Z,20.5403956,19.4372076,105.67565065261739
8.0.100-alpha.1.23061.8,6.0.400,force,OrchardCore-5dbd92c,2023-01-12T13:26:02.4713813Z,13.8657891,13.17512,105.24222246173092
8.0.100-alpha.1.23061.8,6.0.400,noop,OrchardCore-5dbd92c,2023-01-12T13:26:02.4713813Z,9.7578678,8.8125752,110.72663300507213
8.0.100-alpha.1.23061.8,7.0.100,warmup,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,21.2692395,19.0183684,111.83524818038543
8.0.100-alpha.1.23061.8,7.0.100,arctic,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,19.0540867,17.9004298,106.44485586597479
8.0.100-alpha.1.23061.8,7.0.100,cold,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,14.6587776,14.9858421,97.81751003502166
8.0.100-alpha.1.23061.8,7.0.100,force,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,5.379057,5.2638803,102.18805697386395
8.0.100-alpha.1.23061.8,7.0.100,noop,Orleans-eda972a,2023-01-12T13:25:17.5300535Z,4.1065792,3.9638583,103.60055504506806
8.0.100-alpha.1.23061.8,7.0.100,warmup,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,705.1533845,122.4527646,575.8574637358576
8.0.100-alpha.1.23061.8,7.0.100,arctic,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,403.9525886,72.7331363,555.3900314896775
8.0.100-alpha.1.23061.8,7.0.100,cold,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,357.0023876,63.0092279,566.5874658337149
8.0.100-alpha.1.23061.8,7.0.100,force,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,662.7991952,93.8633893,706.131751839479
8.0.100-alpha.1.23061.8,7.0.100,noop,LargeAppCPM-142722b,2023-01-12T13:31:42.3071644Z,12.095668,12.2085104,99.07570705759484
